ID,Name,Team ID,Points per Game,Rebounds per Game,Assists per Game
241,Zach Edey,23,9.2,8.3,1
242,Jusuf Nurkic,13,9.2,6.5,2.6
243,AJ Johnson,27,9.1,2.4,3.1
244,Yves Missi,15,9.1,8.2,1.4
245,Dalton Knecht,4,9.1,2.8,0.8
246,Noah Clowney,19,9.1,3.9,0.9
247,A.J. Lawson,25,9.1,3.3,1.2
248,Caleb Martin,9,9.1,4.4,2.3
249,Wendell Carter Jr.,12,9.1,7.2,2
250,Royce O'Neale,8,9.1,4.7,2.2
251,T.J. McConnell,28,9.1,2.4,4.4
252,Julian Strawther,3,9,2.2,1.3
253,Patrick Williams,21,9,3.8,2
254,Killian Hayes,19,9,3,5.2
255,Draymond Green,16,9,6.1,5.6
256,Al Horford,7,9,6.2,2.1
257,Johnny Juzang,30,8.9,2.9,1.1
258,Nick Richards,13,8.9,7.5,1.3
259,Josh Okogie,13,8.9,2.7,1.3
260,Luke Kennard,23,8.9,2.8,3.3
261,Clint Capela,18,8.9,8.5,1.1
262,Justin Champagnie,27,8.8,5.7,1
263,Svi Mykhailiuk,30,8.8,2.4,2
264,Chris Paul,17,8.8,3.6,7.4
265,Oshae Brissett,9,8.7,3.7,0.7
266,Colby Jones,27,8.7,4.3,2.5
267,Kyshawn George,27,8.7,4.2,2.5
268,Isaiah Collier,30,8.7,3.3,6.3
269,Dereck Lively II,5,8.7,7.5,2.4
270,Tyrese Martin,19,8.7,3.7,2
271,Jaden Hardy,5,8.7,1.6,1.4
272,Georges Niang,20,8.7,3.7,1.3
273,Dante Exum,5,8.7,1.7,2.8
274,Marcus Smart,23,8.7,2.3,3.7
275,Kentavious Caldwell-Pope,12,8.7,2.2,1.8
276,Jonas Valanciunas,14,8.7,7,1.8
277,Lester Quinones,15,8.6,1.7,2.6
278,Ja'Kobe Walter,25,8.6,3.1,1.6
279,Matas Buzelis,21,8.6,3.5,1
280,Jaime Jaquez Jr.,22,8.6,4.4,2.5
281,Zach Collins,21,8.6,6.7,2.1
282,Jusuf Nurkic,8,8.6,9.2,1.9
283,Max Christie,4,8.5,2.7,1.4
284,Sam Hauser,7,8.5,3.2,0.9
