Name,Team ID,Points per Game,Rebounds per Game,Assists per Game
Dante Exum,5,8.7,1.7,2.8
Marcus Smart,23,8.7,2.3,3.7
Kentavious Caldwell-Pope,12,8.7,2.2,1.8
Jonas Valanciunas,14,8.7,7,1.8
Lester Quinones,15,8.6,1.7,2.6
Ja'Kobe Walter,25,8.6,3.1,1.6
Matas Buzelis,21,8.6,3.5,1
Jaime Jaquez Jr.,22,8.6,4.4,2.5
Zach Collins,21,8.6,6.7,2.1
Jusuf Nurkic,8,8.6,9.2,1.9
Max Christie,4,8.5,2.7,1.4
Sam Hauser,7,8.5,3.2,0.9
Larry Nance Jr.,18,8.5,4.3,1.6
Cason Wallace,1,8.4,3.4,2.5
Jaylen Nowell,15,8.4,2.5,2.3
Bruce Brown,25,8.4,3.8,1.6
Keon Ellis,14,8.3,2.7,1.5
Dalano Banton,29,8.3,2,2.4
Brandon Williams,5,8.3,1.8,2.3
Brandon Clarke,23,8.3,5.1,1
Jalen Smith,21,8.2,5.6,1
Bruce Brown,15,8.2,4.2,2.4
Taurean Prince,2,8.2,3.6,1.9
Mike Conley,6,8.2,2.6,4.5
Quinten Post,16,8.1,3.5,1.3
Peyton Watson,3,8.1,3.4,1.4
Orlando Robinson,25,8.1,5.9,1.9
Tyson Etienne,19,7.9,1.3,1.7
Day'Ron Sharpe,19,7.9,6.6,1.8
Kevin Huerter,14,7.9,2.8,1.7
Dorian Finney-Smith,4,7.9,3.6,1.4
Jalen Hood-Schifino,9,7.8,2,2.8
KJ Simpson,13,7.8,3,3.1
Cody Martin,13,7.8,4.5,2.3
Karlo Matkovic,15,7.7,5,1.1
Oscar Tshiebwe,30,7.6,8.7,0.6
Lonzo Ball,21,7.6,3.4,3.3
Matisse Thybulle,29,7.5,3.5,1.9
Garrison Mathews,18,7.5,1.9,1.3
Vasilije Micic,13,7.5,2.4,3.5
Cole Swider,25,7.4,3.1,0.3
A.J. Green,2,7.4,2.4,1.5
Josh Green,13,7.4,2.5,1.6
Shake Milton,19,7.4,1.9,2.4
Richaun Holmes,27,7.4,5.7,1.4
Damion Baugh,13,7.3,3.3,3.7
Ricky Council IV,9,7.3,2.9,1.3
Jake LaRavia,23,7.3,4.4,2.8
Andre Drummond,9,7.3,7.8,0.9
Alec Burks,22,7.3,2.5,1.1
Colin Castleton,25,7.2,6.9,1.6
Tristan da Silva,12,7.2,3.3,1.5
Nae'Qwan Tomlin,20,7.2,4.2,0.4
GG Jackson,23,7.2,3.2,1
Daeqwon Plowden,18,7.2,1.8,0.3
Bones Hyland,24,7.2,1.2,1.4
Vit Krejci,18,7.2,2.7,2.6
Sam Merrill,20,7.2,2.2,1.5
Goga Bitadze,12,7.2,6.6,2
Jamison Battle,25,7.1,2.7,0.9
Jamal Shead,25,7.1,1.5,4.2
Alex Caruso,1,7.1,2.9,2.5
Kelly Olynyk,25,7.1,3.7,2.3
Jaylen Sims,13,7,1,2
Marcus Garrett,13,7,1.5,3.3
Isaiah Jackson,28,7,5.6,1
Jeff Dowtin Jr.,9,7,1.5,1.9
Ryan Dunn,8,6.9,3.6,0.8
Antonio Reeves,15,6.9,1.4,0.9
Jay Huff,23,6.9,2,0.6
Jared Butler,27,6.9,1.3,2.6
Chuma Okeke,9,6.9,6.1,1.9
Torrey Craig,21,6.9,2.8,0.6
Thomas Bryant,28,6.9,3.9,0.9
Cameron Payne,11,6.9,1.4,2.8
Jaxson Hayes,4,6.8,4.8,1
Bol Bol,8,6.8,2.9,0.6
Eric Gordon,9,6.8,1.2,1.7
Marcus Bagley,9,6.7,7,1
DaQuan Jeffries,13,6.7,2.9,1.1
Kyle Anderson,22,6.7,3.8,2.6
Ajay Mitchell,1,6.6,1.9,1.8
Vince Williams Jr.,23,6.6,3.6,2
Trayce Jackson-Davis,16,6.6,5,1.7
Marcus Sasser,10,6.6,1.2,2.3
Precious Achiuwa,11,6.6,5.6,1
Donovan Clingan,29,6.5,7.9,1.1
Talen Horton-Tucker,21,6.5,1.7,1.4
Haywood Highsmith,22,6.5,3.4,1.5
Gary Payton II,16,6.5,3,1.3
Trey Lyles,14,6.5,4.6,1.2
Seth Curry,13,6.5,1.7,0.9
Ronald Holland II,10,6.4,2.7,1
KJ Martin,9,6.4,3,0.8
Gabe Vincent,4,6.4,1.3,1.4
Kris Dunn,24,6.4,3.4,2.8
Dru Smith,22,6.3,2.6,1.6
Sandro Mamukelashvili,17,6.3,3.1,0.8
Davion Mitchell,25,6.3,2,4.6
Jeremiah Robinson-Earl,15,6.3,4.8,1.3
KJ Martin,30,6.3,2.8,1.5
Kenrich Williams,1,6.3,3.5,1.4
Jonathan Mogbo,25,6.2,4.9,2.3
Ryan Rollins,2,6.2,1.9,1.9
Ben Simmons,19,6.2,5.2,6.9
Jarace Walker,28,6.1,3.1,1.5
Jake LaRavia,14,6.1,2.8,1.3
Isaac Okoro,20,6.1,2.4,1.2
Isaiah Mobley,9,6,4,5
Colin Castleton,9,6,7.4,2
N'Faly Dante,26,6,5.3,0.5
Mouhamed Gueye,18,6,4.2,0.8
David Roddy,9,6,3,1
Isaiah Wong,13,6,1.6,1.4
Isaiah Stewart,10,6,5.5,1.7
James Wiseman,28,6,1,0
Terance Mann,24,6,2.9,1.6
Josh Okogie,8,6,2.9,0.6
Luke Kornet,7,6,5.3,1.6
Tidjane Salaun,13,5.9,4.7,1.2
Simone Fontecchio,10,5.9,2.9,0.9
Collin Gillespie,8,5.9,2.4,2.4
Jaylin Williams,1,5.9,5.6,2.6
Jaylen Martin,27,5.8,3.4,1.3
Adem Bona,9,5.8,4.2,0.5
Quenton Jackson,28,5.8,1.6,1.9
Javonte Green,15,5.8,3.6,0.9
Drew Eubanks,30,5.8,4.5,1.2
Robert Williams III,29,5.8,5.9,1.1
Dariq Whitehead,19,5.7,1.5,0.6
Moussa Diabate,13,5.7,6.2,0.8
Landry Shamet,11,5.7,1.2,0.5
Jordan Goodwin,4,5.6,3.9,1.4
Lindy Waters III,16,5.5,2.6,1.1
Aaron Holiday,26,5.5,1.3,1.3
Markieff Morris,4,5.5,1.9,2.1
Caleb Martin,5,5.4,2.9,1.9
Wendell Moore Jr.,13,5.4,3.2,1.2
Keaton Wallace,18,5.4,1.6,2.6
Dean Wade,20,5.4,4.2,1.3
Jonathan Isaac,12,5.4,4.4,0.6
Jeff Green,26,5.4,1.8,0.6
Alex Reese,9,5.3,3.3,0.3
Ben Sheppard,28,5.3,2.8,1.3
Kobe Bufkin,18,5.3,2.1,1.7
Maxwell Lewis,19,5.3,2.5,0.8
Jamal Cain,15,5.3,2.3,0.6
Pat Connaughton,2,5.3,2.7,1.7
Kyle Anderson,16,5.3,3.1,2.3
Kevin Love,22,5.3,4.1,1
Jabari Walker,29,5.2,3.5,0.6
Monte Morris,8,5.2,1.5,1.6
Mitchell Robinson,11,5.1,5.9,0.8
Bismack Biyombo,17,5.1,5.6,1.1
Alondes Williams,10,5,0,1
Malaki Branham,17,5,1.1,0.8
Neemias Queta,7,5,3.8,0.7
Trevelin Queen,12,4.9,1.7,1.2
Marvin Bagley III,27,4.9,2.9,0.4
Jock Landale,26,4.8,3.3,0.9
Taylor Hendricks,30,4.7,5,0.7
Cody Williams,30,4.6,2.3,1.2
Pelle Larsson,22,4.6,1.7,1.2
Julian Phillips,21,4.6,2.1,0.5
Mo Bamba,24,4.6,4.3,0.6
Zach Collins,17,4.6,2.8,1.4
Rob Dillingham,6,4.5,1,2
Jett Howard,12,4.5,1.2,0.7
David Roddy,18,4.5,2.6,1.1
Dalen Terry,21,4.5,1.7,1.3
Kevon Looney,16,4.5,6.1,1.6
Mason Plumlee,8,4.5,6.1,1.8
Tony Bradley,28,4.4,3,0.4
Lamar Stevens,23,4.4,2.2,0.5
Reed Sheppard,26,4.4,1.5,1.4
Tre Jones,17,4.4,2.1,3.7
Charles Bassey,17,4.4,4.2,0.5
Elfrid Payton,15,4.4,3.7,8.1
Reggie Jackson,9,4.4,1.4,1.5
Patty Mills,30,4.4,1.2,1.2
David Roddy,26,4.3,1.7,0.7
Micah Potter,30,4.3,4.3,0.8
Terrence Shannon Jr.,6,4.3,1.5,1
Jevon Carter,21,4.3,1.1,1.1
Daniel Theis,15,4.3,4.3,1.6
Delon Wright,11,4.3,1.4,2.1
Oso Ighodaro,8,4.2,3.6,1.2
Cam Spencer,23,4.2,1.2,1.4
