ID,Name,Team,Current?,Position,Age,Games Played,Minutes/Game,Usage %,Turnover %,Free Throw Attempts,Free Throw %,2-pt Attempts,2-Point %,3-pt Attempts,3-Point %,Effective FG %,True Shooting %,Points per Game,Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,Turovers per Game,Points + Rebounds,Points + Assists,Points + Rebounds + Assists,Versatility Index,Offensive Rating,Defensive Rating,Team ID,,,Unique team IDs,
56,Kristaps Porzingis,Bos,*,F-C,29.7,42,28.8,25.9,8.4,199,0.809,324,0.537,250,0.412,0.572,0.618,19.5,6.8,2.1,0.7,1.5,1.3,26.2,21.5,28.3,9.1,124.9,103,7,,,,
57,Scottie Barnes,Tor,*,F-G,23.7,65,32.8,27,14.8,302,0.755,783,0.508,280,0.271,0.482,0.523,19.3,7.7,5.8,1.4,1,2.8,27,25.1,32.8,11.6,106.9,111.5,25,,,,
58,Anfernee Simons,Por,*,G,25.9,70,32.7,24.6,11.3,194,0.902,532,0.496,593,0.363,0.521,0.557,19.3,2.7,4.8,0.9,0.1,2,22,24.1,26.8,7.7,114.7,116.2,29,,,,
59,Desmond Bane,Mem,*,G,26.8,69,32,23.3,14.2,198,0.894,600,0.548,418,0.392,0.565,0.6,19.2,6.1,5.3,1.2,0.4,2.4,25.3,24.6,30.6,10.7,118.6,109.2,23,,,,
60,Alperen Sengun,Hou,*,C,22.7,76,31.5,26.2,14.5,428,0.692,1053,0.519,90,0.233,0.505,0.545,19.1,10.4,4.9,1.1,0.8,2.6,29.4,24,34.3,12.6,115.3,102.9,26,,,,
61,Domantas Sabonis,Sac,*,F-C,28.9,70,34.7,21.6,18.5,289,0.754,736,0.628,156,0.417,0.627,0.656,19.1,13.9,6,0.7,0.4,2.9,33,25.1,39,13.5,127.8,106,14,,,,
62,De'Andre Hunter,Atl,,F-G,27.4,37,28.7,24.2,10.7,176,0.858,245,0.531,247,0.393,0.56,0.616,19,3.9,1.5,0.8,0.1,1.6,22.9,20.5,24.4,6.7,117.3,112.5,18,,,,
63,John Collins,Uta,*,F-C,27.6,40,30.5,24.1,16.2,164,0.848,383,0.577,148,0.399,0.583,0.628,19,8.2,2,1,1,2.6,27.1,21,29.1,8.9,115.3,111.8,30,,,,
64,Lauri Markkanen,Uta,*,F-C,27.9,47,31.4,24,8.6,185,0.876,301,0.525,399,0.346,0.521,0.571,19,5.9,1.5,0.7,0.4,1.4,24.9,20.5,26.4,7,114.9,118.6,30,,,,
65,Andrew Wiggins,Mia,*,F,30.1,17,32.1,26.7,14.6,78,0.731,151,0.523,100,0.36,0.53,0.566,19,4.2,3.3,1.2,1,2.5,23.2,22.3,26.5,8,107.4,111.5,22,,,,
66,Jalen Johnson,Atl,*,F,23.3,36,35.7,22.5,16.3,126,0.746,402,0.565,141,0.312,0.54,0.568,18.9,10,5,1.6,1,2.9,28.9,23.9,33.9,11,109.6,111.5,18,,,,
67,Cameron Johnson,Bro,*,F,29.1,57,31.6,22.9,11.7,225,0.893,339,0.578,408,0.39,0.582,0.632,18.8,4.3,3.4,0.9,0.4,1.7,23.1,22.2,26.5,8.2,122.5,114.8,19,,,,
68,Julius Randle,Min,*,F-C,30.4,69,32.3,25,17.3,335,0.806,625,0.555,314,0.344,0.542,0.593,18.7,7.1,4.7,0.7,0.2,2.8,25.7,23.3,30.4,10.6,116.3,106.9,6,,,,
69,Tyrese Haliburton,Ind,*,G,25.1,73,33.6,21.6,10.7,222,0.851,444,0.581,562,0.388,0.582,0.616,18.6,3.5,9.2,1.4,0.7,1.6,22.2,27.8,31.4,10,130.4,115.6,28,,,,
70,Shaedon Sharpe,Por,*,G,21.9,72,31.3,25.1,12,242,0.785,632,0.557,472,0.311,0.519,0.551,18.5,4.5,2.8,0.9,0.2,2.1,23,21.3,25.8,7.9,109.5,114.5,29,,,,
71,Evan Mobley,Cle,*,C,23.8,71,30.5,23.2,13.8,305,0.725,676,0.621,230,0.37,0.604,0.633,18.5,9.3,3.2,0.9,1.6,2,27.8,21.7,31,10.7,123.6,106.5,20,,,,
72,Nikola Vucevic,Chi,*,C,34.5,73,31.2,22.4,10.3,149,0.805,717,0.587,321,0.402,0.592,0.611,18.5,10.1,3.5,0.8,0.7,1.6,28.5,22,32.1,11.1,121.7,109.8,21,,,,
73,Collin Sexton,Uta,*,G,26.3,63,27.9,27,15.6,251,0.865,596,0.513,271,0.406,0.543,0.593,18.4,2.7,4.2,0.7,0.1,2.5,21.1,22.6,25.3,8.5,114.5,117.6,30,,,,
74,Dennis Schroder,Bro,,G,31.6,23,33.6,23.8,15.3,81,0.889,175,0.509,150,0.387,0.542,0.588,18.4,3,6.6,1.1,0.2,2.6,21.4,25,28,8.5,115.9,113.5,19,,,,
75,Michael Porter Jr.,Den,*,F,26.8,77,33.7,20.2,9,194,0.768,559,0.599,489,0.395,0.596,0.617,18.2,7,2.1,0.6,0.5,1.4,25.2,20.3,27.3,7.6,121.4,113.4,3,,,,
76,Bam Adebayo,Mia,*,C-F,27.7,78,34.3,23.5,12.6,327,0.765,892,0.517,221,0.357,0.521,0.561,18.1,9.6,4.3,1.3,0.7,2.1,27.7,22.4,32,10.6,115.1,107.5,22,,,,
